Date,Close,High,Low,Open
2021-11-27,5.500000042957254e-05,5.6000000768108293e-05,5.0999999075429514e-05,5.199999941396527e-05
2021-11-28,5.500000042957254e-05,5.500000042957254e-05,4.999999873689376e-05,5.500000042957254e-05
2021-11-29,5.700000110664405e-05,5.700000110664405e-05,5.400000009103678e-05,5.500000042957254e-05
2021-11-30,5.199999941396527e-05,5.700000110664405e-05,4.999999873689376e-05,5.700000110664405e-05
2021-12-01,4.5000000682193786e-05,5.199999941396527e-05,4.400000034365803e-05,5.199999941396527e-05
2021-12-02,4.400000034365803e-05,4.600000102072954e-05,4.199999966658652e-05,4.5000000682193786e-05
2021-12-03,4.5000000682193786e-05,4.8000001697801054e-05,4.3000000005122274e-05,4.400000034365803e-05
2021-12-04,3.7000001611886546e-05,4.5000000682193786e-05,3.300000025774352e-05,4.5000000682193786e-05
2021-12-05,3.400000059627928e-05,3.9999998989515007e-05,3.400000059627928e-05,3.7000001611886546e-05
2021-12-06,3.7000001611886546e-05,3.7000001611886546e-05,3.099999958067201e-05,3.400000059627928e-05
2021-12-07,3.5000000934815034e-05,3.7999998312443495e-05,3.5000000934815034e-05,3.7000001611886546e-05
2021-12-08,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.5000000934815034e-05
2021-12-09,3.400000059627928e-05,3.7000001611886546e-05,3.300000025774352e-05,3.5000000934815034e-05
2021-12-10,3.199999991920777e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.400000059627928e-05
2021-12-11,3.300000025774352e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.199999991920777e-05
2021-12-12,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.300000025774352e-05
2021-12-13,3.099999958067201e-05,3.5000000934815034e-05,2.9000000722589903e-05,3.5000000934815034e-05
2021-12-14,2.8000000384054147e-05,3.099999958067201e-05,2.8000000384054147e-05,3.099999958067201e-05
2021-12-15,2.9999999242136255e-05,2.9999999242136255e-05,2.700000004551839e-05,2.9000000722589903e-05
2021-12-16,2.8000000384054147e-05,2.9999999242136255e-05,2.8000000384054147e-05,2.9999999242136255e-05
2021-12-17,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05
2021-12-18,2.5999999706982635e-05,2.8000000384054147e-05,2.499999936844688e-05,2.700000004551839e-05
2021-12-19,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05
2021-12-20,2.5999999706982635e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.700000004551839e-05
2021-12-21,2.5999999706982635e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05
2021-12-22,2.700000004551839e-05,3.099999958067201e-05,2.5999999706982635e-05,2.5999999706982635e-05
2021-12-23,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05
2021-12-24,3.899999865097925e-05,4.8999998398358e-05,2.8000000384054147e-05,2.9000000722589903e-05
2021-12-25,3.7999998312443495e-05,3.899999865097925e-05,3.300000025774352e-05,3.899999865097925e-05
2021-12-26,3.600000127335079e-05,3.7999998312443495e-05,3.400000059627928e-05,3.7999998312443495e-05
2021-12-27,3.5000000934815034e-05,3.7000001611886546e-05,3.5000000934815034e-05,3.600000127335079e-05
2021-12-28,3.099999958067201e-05,3.600000127335079e-05,3.099999958067201e-05,3.600000127335079e-05
2021-12-29,2.9999999242136255e-05,3.199999991920777e-05,2.9000000722589903e-05,3.099999958067201e-05
2021-12-30,2.9999999242136255e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05
2021-12-31,2.9999999242136255e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9999999242136255e-05
2022-01-01,3.099999958067201e-05,3.300000025774352e-05,2.9000000722589903e-05,2.9999999242136255e-05
2022-01-02,2.9000000722589903e-05,3.099999958067201e-05,2.9000000722589903e-05,3.099999958067201e-05
2022-01-03,2.8000000384054147e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.9000000722589903e-05
2022-01-04,2.8000000384054147e-05,3.099999958067201e-05,2.8000000384054147e-05,2.8000000384054147e-05
2022-01-05,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05
2022-01-06,2.8000000384054147e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05
2022-01-07,2.499999936844688e-05,2.8000000384054147e-05,2.499999936844688e-05,2.8000000384054147e-05
2022-01-08,2.499999936844688e-05,2.5999999706982635e-05,2.300000051036477e-05,2.499999936844688e-05
2022-01-09,2.499999936844688e-05,2.499999936844688e-05,2.4000000848900527e-05,2.499999936844688e-05
